Model,Accuracy,Precision,Recall,F1
KNN,0.6260534553334939,0.5733596170092932,0.9816779170684667,0.7239111111111111
LogisticRegression,0.9429328196484469,0.9326424870466321,0.9546769527483124,0.9435310936383131
RandomForest,0.9436551890199856,0.9470359572400389,0.9397299903567985,0.9433688286544046
NeuralNetwork,0.9453407175535757,0.9433509361497839,0.9474445515911283,0.9453933124849652
